1000 971
9 3 29
3 7 85
9 9 54
3 4 24
5 9 14
2 6 21
6 2 9
9 10 2
7 2 95
5 3 53
5 1 5
1 7 55
3 2 39
2 4 41
1 1 45
9 9 82
10 6 34
4 2 82
6 5 24
2 8 14
1 1 65
1 9 74
10 9 60
8 5 46
7 7 70
4 2 10
9 9 26
10 4 66
9 1 33
2 1 2
3 10 38
8 2 47
4 6 87
6 3 20
4 6 91
4 10 82
4 9 6
1 9 13
10 1 20
2 1 12
7 9 66
3 9 41
9 7 27
2 3 82
5 2 44
7 9 5
5 9 13
2 10 14
1 1 14
3 6 44
5 1 71
8 4 95
6 9 4
10 7 24
1 1 81
3 5 7
8 1 31
8 7 45
10 3 81
5 10 60
3 10 33
10 4 94
7 3 53
5 10 86
10 2 18
4 10 8
4 6 88
9 6 65
5 2 76
4 9 13
6 8 52
6 4 60
9 3 30
2 2 74
10 3 41
8 3 7
6 9 39
8 6 63
4 9 58
7 10 15
8 9 55
1 8 26
4 10 58
3 3 61
4 9 24
4 3 35
1 1 87
2 5 82
2 1 42
6 6 60
2 2 78
2 9 79
1 3 58
1 5 62
2 5 44
7 10 37
3 7 66
2 10 53
1 4 74
4 7 93
8 10 66
2 6 26
1 9 96
5 3 33
5 6 31
6 4 88
7 7 77
3 7 48
8 7 99
8 1 86
4 8 76
4 10 37
4 8 38
7 10 65
5 4 15
5 2 31
1 9 37
10 10 43
2 4 39
8 6 25
3 4 46
6 3 93
6 4 76
5 3 7
1 6 89
1 7 79
2 2 5
4 7 85
7 8 43
4 10 23
5 10 77
9 8 86
8 6 89
4 9 89
8 4 86
6 8 18
4 2 81
7 3 55
10 8 61
1 7 26
9 9 4
8 9 41
8 9 95
1 10 68
6 6 5
5 1 33
9 7 5
2 5 27
2 4 23
10 5 52
6 10 99
7 8 57
1 1 86
6 2 78
2 5 71
5 4 99
7 5 4
10 3 49
8 5 30
10 9 19
2 5 29
5 4 89
8 9 25
3 3 32
1 2 58
6 10 4
9 10 49
7 9 1
1 5 93
3 3 11
2 1 91
5 1 30
3 7 97
6 6 34
8 6 43
8 3 59
10 10 70
10 3 67
7 10 87
6 3 35
5 7 94
1 10 66
1 7 28
8 9 30
8 4 12
2 1 21
1 3 59
1 8 9
3 10 80
8 1 8
8 8 49
7 8 25
10 5 68
3 9 89
7 10 82
9 1 52
10 3 83
8 8 77
2 6 45
3 4 37
10 4 77
10 8 60
1 8 61
9 1 10
6 4 60
10 6 68
5 2 16
7 4 68
10 8 11
4 3 1
7 7 91
1 2 45
3 8 62
9 4 89
1 9 91
7 3 100
2 7 67
6 2 92
4 8 100
1 7 24
7 8 65
10 3 60
3 10 24
1 2 25
10 1 71
7 7 26
6 1 9
3 1 64
5 9 46
8 5 10
9 6 38
10 6 45
8 5 14
8 6 38
1 1 32
4 7 55
4 4 4
10 3 46
7 4 10
5 9 46
4 5 73
10 5 8
5 9 48
7 4 39
2 10 71
4 10 25
6 8 46
5 6 20
6 10 30
4 3 29
3 4 26
10 3 64
5 4 4
6 9 41
8 9 85
4 4 37
6 9 20
5 5 4
6 9 68
7 5 89
9 4 21
1 7 40
10 2 23
8 6 47
2 7 80
3 9 49
2 4 1
6 7 54
5 7 73
3 7 74
6 4 85
3 3 81
7 3 37
4 4 24
5 10 49
10 8 75
9 10 33
4 4 10
4 8 58
9 2 76
10 9 79
6 8 66
9 3 29
3 4 49
3 2 39
5 10 24
7 3 59
7 10 15
1 10 26
6 1 26
7 2 20
5 10 47
10 10 90
2 8 72
7 8 94
2 10 30
6 8 23
7 3 65
2 9 30
7 5 89
3 5 46
8 8 86
3 9 5
5 9 25
2 7 45
3 6 54
3 1 60
4 6 4
10 6 28
7 2 47
9 1 55
9 9 21
5 6 60
8 1 77
9 9 73
10 2 99
3 2 19
3 3 43
7 10 41
6 3 81
5 6 65
8 4 30
9 9 29
7 1 94
9 8 31
3 6 8
8 3 82
4 2 78
7 6 87
6 5 54
8 6 13
9 8 17
2 6 69
1 5 88
10 2 98
3 7 66
1 7 10
9 8 32
9 8 40
1 7 81
10 1 68
1 6 74
1 9 66
10 9 11
1 1 51
2 10 96
9 10 86
6 5 69
7 10 88
2 4 3
6 6 93
6 3 53
2 10 85
10 6 19
4 4 55
1 4 14
8 4 22
5 4 86
9 6 47
9 10 14
10 5 84
8 7 88
2 3 12
7 7 59
2 6 21
3 10 83
6 5 92
3 8 92
4 6 13
9 2 99
10 10 52
4 3 92
5 10 97
5 3 62
8 3 85
3 8 98
2 10 99
2 7 29
4 4 64
4 5 45
5 5 59
6 6 40
5 2 77
7 10 53
8 6 98
8 6 97
4 8 94
7 2 63
10 9 9
7 8 76
6 1 53
9 6 24
9 9 26
3 8 35
3 8 25
3 2 33
3 3 46
9 10 6
3 5 83
7 9 55
9 6 96
9 3 55
3 5 26
7 2 91
1 5 27
9 10 47
6 1 41
4 10 3
4 5 47
8 8 10
9 1 67
8 10 14
4 10 42
5 4 26
4 10 91
3 5 35
9 3 80
1 2 99
5 8 43
9 1 93
8 7 70
7 3 15
3 2 91
6 8 63
3 10 25
9 10 35
7 7 10
4 3 28
7 7 23
1 9 63
1 9 99
5 2 43
3 1 72
8 9 73
4 7 89
3 6 32
3 7 6
8 9 33
1 2 63
6 5 80
2 6 41
8 1 45
4 7 59
1 2 64
5 1 50
9 6 97
6 3 93
8 4 17
1 6 79
9 1 99
3 2 28
2 8 92
2 8 51
1 3 40
8 1 95
8 7 82
9 8 94
2 1 24
4 10 32
8 10 29
6 10 98
5 3 25
1 5 36
7 8 76
9 6 22
6 3 87
5 7 36
4 2 2
9 1 42
2 7 24
7 10 13
2 1 14
4 9 27
2 6 4
10 8 67
6 1 47
6 6 95
5 4 57
10 5 81
4 2 88
8 1 38
9 5 64
6 5 78
7 7 12
7 8 30
9 6 21
5 7 24
4 4 71
7 9 43
2 3 38
10 3 52
1 5 58
6 9 50
1 8 59
3 9 90
9 6 74
5 9 20
10 1 70
8 1 97
6 2 88
10 9 83
1 9 56
4 3 20
4 9 61
3 4 51
4 5 57
6 4 21
7 5 19
9 1 21
9 6 43
6 6 81
5 7 69
8 5 39
1 9 66
6 7 57
8 9 9
7 5 53
10 4 64
10 9 74
8 7 81
6 5 85
8 2 81
2 4 64
6 6 100
5 10 22
6 6 71
10 1 22
10 6 25
5 5 16
10 6 27
10 8 35
1 9 76
6 2 41
9 9 33
10 1 45
5 1 74
5 4 24
8 6 74
6 1 16
5 9 63
6 9 77
2 5 25
7 4 59
5 1 78
7 3 57
10 1 9
2 7 25
7 7 35
9 6 98
1 3 35
9 3 41
3 8 67
5 8 32
6 4 89
10 9 66
7 5 12
5 10 28
7 7 32
10 8 94
1 9 81
7 6 20
1 8 56
8 6 41
1 9 20
4 5 92
6 5 59
9 2 18
10 6 39
8 4 57
8 9 93
7 7 48
6 9 37
5 1 5
2 6 72
3 3 73
8 2 37
10 7 40
6 4 28
6 9 79
2 9 78
9 3 43
10 1 7
1 7 84
3 7 83
4 10 96
7 5 2
7 10 84
7 10 44
6 3 47
6 1 9
6 5 67
4 4 30
5 4 9
3 8 66
8 10 81
10 4 42
6 8 52
2 9 69
1 2 32
3 2 77
6 6 96
6 6 16
2 3 77
1 6 92
10 1 50
7 7 24
5 6 21
4 1 32
1 2 32
8 6 29
9 2 45
1 6 59
2 7 2
6 7 85
3 9 69
2 6 48
2 5 89
7 9 88
3 9 16
8 4 85
10 7 91
8 9 44
8 4 5
5 3 60
5 6 32
7 2 25
2 10 82
2 3 60
9 4 29
4 8 37
8 7 51
5 3 8
7 10 87
6 3 49
1 1 67
6 10 16
9 9 60
5 9 49
1 7 98
9 6 17
7 8 13
4 6 47
3 4 88
10 9 96
3 2 85
10 3 35
3 8 55
3 1 18
6 5 23
4 10 51
8 10 88
4 4 56
7 8 35
2 9 36
7 2 68
4 5 23
4 8 31
7 5 70
2 3 39
1 8 96
9 10 71
10 7 98
8 7 4
10 5 20
2 2 76
10 8 26
7 2 46
2 1 29
6 9 12
6 1 51
6 3 31
5 2 78
4 8 59
1 6 54
6 6 68
2 6 10
10 8 6
4 10 99
5 1 6
10 3 76
8 4 10
10 6 27
4 5 29
8 2 75
9 8 97
6 2 24
3 2 52
9 1 39
7 7 19
2 3 39
5 7 50
9 8 37
10 2 90
9 8 56
3 9 85
1 2 66
3 2 6
2 3 21
7 4 42
4 1 51
7 5 84
4 5 34
9 4 50
8 5 5
8 6 17
9 7 85
10 10 81
8 8 89
8 3 7
2 6 43
3 4 50
2 5 80
6 2 94
9 9 56
2 4 4
4 6 63
2 9 84
10 10 78
6 8 21
8 9 96
10 5 9
4 3 1
8 10 74
8 3 34
3 9 62
1 10 47
5 3 23
4 2 32
1 4 24
6 4 100
5 3 51
4 8 69
8 9 89
4 9 35
10 8 49
6 7 48
5 5 33
3 7 78
5 7 55
4 8 53
3 2 38
10 3 72
7 7 14
7 5 49
6 5 24
1 7 38
2 5 71
5 10 9
4 3 44
2 9 68
9 5 67
8 2 14
7 5 11
8 5 60
5 7 6
4 5 77
8 10 35
10 10 75
2 4 15
8 5 7
4 2 8
4 7 37
8 7 1
3 2 5
5 4 39
8 7 92
10 1 58
7 7 97
1 6 18
7 7 72
5 4 55
2 10 22
8 5 73
5 7 59
9 4 96
7 5 34
3 1 42
4 4 13
5 4 28
5 2 31
9 4 20
9 5 32
2 8 54
10 8 81
6 7 6
2 8 21
2 8 44
9 9 84
4 7 21
6 6 12
8 10 19
8 3 75
6 4 37
10 6 67
1 6 88
10 5 78
2 1 79
5 2 6
1 10 39
3 7 70
10 1 84
4 7 67
8 7 71
8 9 16
3 3 94
8 4 38
9 6 23
5 3 25
4 8 93
